experiment,accuracy,precision,recall,f1,auc_roc,best_iter,tn,fp,fn,tp
0.Baseline,0.6703539823008849,0.6620370370370371,0.38858695652173914,0.4897260273972603,0.6966078236534717,82,463,73,225,143
1.AutoBalance,0.6382743362831859,0.5477855477855478,0.6385869565217391,0.589711417816813,0.6891071138870863,12,342,194,133,235
2.ManualWeigths,0.6349557522123894,0.5452380952380952,0.6222826086956522,0.5812182741116751,0.6978930077871512,93,345,191,139,229
3. Deep + balanced,0.6360619469026548,0.54421768707483,0.6521739130434783,0.5933250927070457,0.6935735723556132,25,335,201,128,240
