fold,train_size,test_size,train_period,test_period,auc,f1,precision,recall,accuracy,best_iter
1,754,753,2017-11-22 → 2020-08-03,2020-08-03 → 2021-06-01,0.7459645239493458,0.6159420289855072,0.6296296296296297,0.6028368794326241,0.7184594953519257,8
2,1507,753,2017-11-22 → 2021-06-01,2021-06-02 → 2022-02-11,0.7820580197603532,0.6610407876230661,0.550351288056206,0.8274647887323944,0.6799468791500664,110
3,2260,753,2017-11-22 → 2022-02-11,2022-02-11 → 2022-07-08,0.7369509789772454,0.5974025974025974,0.4972972972972973,0.7479674796747967,0.6706507304116865,10
4,3013,753,2017-11-22 → 2022-07-08,2022-07-08 → 2022-11-03,0.6633344566873753,0.5587786259541985,0.5213675213675214,0.6019736842105263,0.6162018592297477,9
5,3766,753,2017-11-22 → 2022-11-03,2022-11-03 → 2023-04-24,0.7108081614870752,0.6055045871559633,0.5806451612903226,0.6325878594249201,0.6573705179282868,20
